theme,total_count,theme_query_total,share_gap,dominant_platform,platform,platform_total,theme_share_of_platform
Поздравления и праздники,57413,6288,0.2131,touch,desktop,73575,0.0855
Поздравления и праздники,57413,51125,0.2131,touch,touch,171236,0.2986
Справка и Образование,70414,28080,0.1345,desktop,desktop,73575,0.3817
Справка и Образование,70414,42334,0.1345,desktop,touch,171236,0.2472
"Медиа, фото и развлечения",63597,25496,0.124,desktop,desktop,73575,0.3465
"Медиа, фото и развлечения",63597,38101,0.124,desktop,touch,171236,0.2225
"Покупки, стиль и бренды",15900,3220,0.0302,touch,desktop,73575,0.0438
"Покупки, стиль и бренды",15900,12680,0.0302,touch,touch,171236,0.074
Сервисы,7180,3686,0.0297,desktop,desktop,73575,0.0501
Сервисы,7180,3494,0.0297,desktop,touch,171236,0.0204
"Здоровье, питание и рецепты",7591,1337,0.0183,touch,desktop,73575,0.0182
"Здоровье, питание и рецепты",7591,6254,0.0183,touch,touch,171236,0.0365
Чувствительные запросы,4213,434,0.0162,touch,desktop,73575,0.0059
Чувствительные запросы,4213,3779,0.0162,touch,touch,171236,0.0221
Карты и навигация,13677,3776,0.0065,touch,desktop,73575,0.0513
Карты и навигация,13677,9901,0.0065,touch,touch,171236,0.0578
Новости,4826,1258,0.0037,touch,desktop,73575,0.0171
Новости,4826,3568,0.0037,touch,touch,171236,0.0208
