hour,platform,theme,avg_query_share_in_platform_day_hour
0,desktop,"Здоровье, питание и рецепты",0.0006833333333333333
1,desktop,"Здоровье, питание и рецепты",0.00048
2,desktop,"Здоровье, питание и рецепты",0.00033
3,desktop,"Здоровье, питание и рецепты",0.00036666666666666667
4,desktop,"Здоровье, питание и рецепты",0.0003818181818181818
5,desktop,"Здоровье, питание и рецепты",0.00045882352941176467
6,desktop,"Здоровье, питание и рецепты",0.0005375
7,desktop,"Здоровье, питание и рецепты",0.0005277777777777777
8,desktop,"Здоровье, питание и рецепты",0.0007047619047619048
9,desktop,"Здоровье, питание и рецепты",0.0008823529411764705
10,desktop,"Здоровье, питание и рецепты",0.0010210526315789475
11,desktop,"Здоровье, питание и рецепты",0.0010500000000000002
12,desktop,"Здоровье, питание и рецепты",0.0011047619047619046
13,desktop,"Здоровье, питание и рецепты",0.001295
14,desktop,"Здоровье, питание и рецепты",0.0013238095238095238
15,desktop,"Здоровье, питание и рецепты",0.001195
16,desktop,"Здоровье, питание и рецепты",0.0011049999999999999
17,desktop,"Здоровье, питание и рецепты",0.0009714285714285715
18,desktop,"Здоровье, питание и рецепты",0.0009904761904761905
19,desktop,"Здоровье, питание и рецепты",0.001142857142857143
20,desktop,"Здоровье, питание и рецепты",0.0009
21,desktop,"Здоровье, питание и рецепты",0.0010095238095238095
22,desktop,"Здоровье, питание и рецепты",0.0007941176470588235
23,desktop,"Здоровье, питание и рецепты",0.001075
0,touch,"Здоровье, питание и рецепты",0.0011333333333333332
1,touch,"Здоровье, питание и рецепты",0.0008809523809523809
2,touch,"Здоровье, питание и рецепты",0.0005714285714285715
3,touch,"Здоровье, питание и рецепты",0.0006095238095238096
4,touch,"Здоровье, питание и рецепты",0.0007523809523809525
5,touch,"Здоровье, питание и рецепты",0.0007999999999999999
6,touch,"Здоровье, питание и рецепты",0.0011523809523809523
7,touch,"Здоровье, питание и рецепты",0.0013238095238095238
8,touch,"Здоровье, питание и рецепты",0.0016904761904761904
9,touch,"Здоровье, питание и рецепты",0.0017476190476190475
10,touch,"Здоровье, питание и рецепты",0.0020095238095238096
11,touch,"Здоровье, питание и рецепты",0.001661904761904762
12,touch,"Здоровье, питание и рецепты",0.0018333333333333333
13,touch,"Здоровье, питание и рецепты",0.0018476190476190476
14,touch,"Здоровье, питание и рецепты",0.0017619047619047618
