date,week_start,day_of_week,hour,platform,theme,query_count
2021-09-01,2021-08-30,Wednesday,0,touch,"Здоровье, питание и рецепты",6
2021-09-01,2021-08-30,Wednesday,0,desktop,Карты и навигация,1
2021-09-01,2021-08-30,Wednesday,0,touch,Карты и навигация,6
2021-09-01,2021-08-30,Wednesday,0,desktop,"Медиа, фото и развлечения",18
2021-09-01,2021-08-30,Wednesday,0,touch,"Медиа, фото и развлечения",50
2021-09-01,2021-08-30,Wednesday,0,desktop,Поздравления и праздники,33
2021-09-01,2021-08-30,Wednesday,0,touch,Поздравления и праздники,102
2021-09-01,2021-08-30,Wednesday,0,desktop,"Покупки, стиль и бренды",4
2021-09-01,2021-08-30,Wednesday,0,touch,"Покупки, стиль и бренды",14
2021-09-01,2021-08-30,Wednesday,0,desktop,Сервисы,6
2021-09-01,2021-08-30,Wednesday,0,touch,Сервисы,4
2021-09-01,2021-08-30,Wednesday,0,desktop,Справка и Образование,14
2021-09-01,2021-08-30,Wednesday,0,touch,Справка и Образование,50
2021-09-01,2021-08-30,Wednesday,0,desktop,Чувствительные запросы,1
2021-09-01,2021-08-30,Wednesday,0,touch,Чувствительные запросы,2
2021-09-01,2021-08-30,Wednesday,1,desktop,"Здоровье, питание и рецепты",2
2021-09-01,2021-08-30,Wednesday,1,touch,"Здоровье, питание и рецепты",6
2021-09-01,2021-08-30,Wednesday,1,desktop,Карты и навигация,2
2021-09-01,2021-08-30,Wednesday,1,touch,Карты и навигация,1
2021-09-01,2021-08-30,Wednesday,1,desktop,"Медиа, фото и развлечения",9
2021-09-01,2021-08-30,Wednesday,1,touch,"Медиа, фото и развлечения",40
2021-09-01,2021-08-30,Wednesday,1,desktop,Поздравления и праздники,15
2021-09-01,2021-08-30,Wednesday,1,touch,Поздравления и праздники,85
2021-09-01,2021-08-30,Wednesday,1,desktop,"Покупки, стиль и бренды",2
2021-09-01,2021-08-30,Wednesday,1,touch,"Покупки, стиль и бренды",7
2021-09-01,2021-08-30,Wednesday,1,desktop,Сервисы,2
2021-09-01,2021-08-30,Wednesday,1,touch,Сервисы,4
2021-09-01,2021-08-30,Wednesday,1,desktop,Справка и Образование,7
2021-09-01,2021-08-30,Wednesday,1,touch,Справка и Образование,30
2021-09-01,2021-08-30,Wednesday,1,touch,Чувствительные запросы,4
2021-09-01,2021-08-30,Wednesday,2,desktop,"Здоровье, питание и рецепты",1
2021-09-01,2021-08-30,Wednesday,2,touch,"Здоровье, питание и рецепты",4
2021-09-01,2021-08-30,Wednesday,2,touch,Карты и навигация,5
2021-09-01,2021-08-30,Wednesday,2,desktop,"Медиа, фото и развлечения",8
2021-09-01,2021-08-30,Wednesday,2,touch,"Медиа, фото и развлечения",23
2021-09-01,2021-08-30,Wednesday,2,touch,Новости,3
2021-09-01,2021-08-30,Wednesday,2,desktop,Поздравления и праздники,16
2021-09-01,2021-08-30,Wednesday,2,touch,Поздравления и праздники,127
2021-09-01,2021-08-30,Wednesday,2,touch,"Покупки, стиль и бренды",7
2021-09-01,2021-08-30,Wednesday,2,desktop,Сервисы,1
2021-09-01,2021-08-30,Wednesday,2,touch,Сервисы,1
2021-09-01,2021-08-30,Wednesday,2,desktop,Справка и Образование,5
2021-09-01,2021-08-30,Wednesday,2,touch,Справка и Образование,23
2021-09-01,2021-08-30,Wednesday,2,touch,Чувствительные запросы,1
2021-09-01,2021-08-30,Wednesday,3,desktop,"Здоровье, питание и рецепты",1
2021-09-01,2021-08-30,Wednesday,3,touch,"Здоровье, питание и рецепты",5
2021-09-01,2021-08-30,Wednesday,3,desktop,Карты и навигация,1
2021-09-01,2021-08-30,Wednesday,3,touch,Карты и навигация,2
2021-09-01,2021-08-30,Wednesday,3,desktop,"Медиа, фото и развлечения",13
2021-09-01,2021-08-30,Wednesday,3,touch,"Медиа, фото и развлечения",22
2021-09-01,2021-08-30,Wednesday,3,desktop,Поздравления и праздники,29
2021-09-01,2021-08-30,Wednesday,3,touch,Поздравления и праздники,161
2021-09-01,2021-08-30,Wednesday,3,desktop,"Покупки, стиль и бренды",1
2021-09-01,2021-08-30,Wednesday,3,touch,"Покупки, стиль и бренды",8
2021-09-01,2021-08-30,Wednesday,3,touch,Сервисы,2
2021-09-01,2021-08-30,Wednesday,3,desktop,Справка и Образование,1
2021-09-01,2021-08-30,Wednesday,3,touch,Справка и Образование,15
2021-09-01,2021-08-30,Wednesday,4,touch,"Здоровье, питание и рецепты",8
2021-09-01,2021-08-30,Wednesday,4,desktop,Карты и навигация,1
2021-09-01,2021-08-30,Wednesday,4,touch,Карты и навигация,2
2021-09-01,2021-08-30,Wednesday,4,desktop,"Медиа, фото и развлечения",10
2021-09-01,2021-08-30,Wednesday,4,touch,"Медиа, фото и развлечения",23
2021-09-01,2021-08-30,Wednesday,4,desktop,Новости,1
2021-09-01,2021-08-30,Wednesday,4,touch,Новости,2
2021-09-01,2021-08-30,Wednesday,4,desktop,Поздравления и праздники,24
2021-09-01,2021-08-30,Wednesday,4,touch,Поздравления и праздники,309
2021-09-01,2021-08-30,Wednesday,4,desktop,"Покупки, стиль и бренды",2
2021-09-01,2021-08-30,Wednesday,4,touch,"Покупки, стиль и бренды",12
2021-09-01,2021-08-30,Wednesday,4,touch,Сервисы,1
2021-09-01,2021-08-30,Wednesday,4,desktop,Справка и Образование,9
2021-09-01,2021-08-30,Wednesday,4,touch,Справка и Образование,17
2021-09-01,2021-08-30,Wednesday,4,desktop,Чувствительные запросы,1
2021-09-01,2021-08-30,Wednesday,4,touch,Чувствительные запросы,3
2021-09-01,2021-08-30,Wednesday,5,desktop,"Здоровье, питание и рецепты",3
2021-09-01,2021-08-30,Wednesday,5,touch,"Здоровье, питание и рецепты",3
2021-09-01,2021-08-30,Wednesday,5,desktop,Карты и навигация,2
2021-09-01,2021-08-30,Wednesday,5,touch,Карты и навигация,3
2021-09-01,2021-08-30,Wednesday,5,desktop,"Медиа, фото и развлечения",3
2021-09-01,2021-08-30,Wednesday,5,touch,"Медиа, фото и развлечения",21
2021-09-01,2021-08-30,Wednesday,5,touch,Новости,2
2021-09-01,2021-08-30,Wednesday,5,desktop,Поздравления и праздники,51
2021-09-01,2021-08-30,Wednesday,5,touch,Поздравления и праздники,479
2021-09-01,2021-08-30,Wednesday,5,desktop,"Покупки, стиль и бренды",2
2021-09-01,2021-08-30,Wednesday,5,touch,"Покупки, стиль и бренды",8
2021-09-01,2021-08-30,Wednesday,5,desktop,Сервисы,1
2021-09-01,2021-08-30,Wednesday,5,touch,Сервисы,1
2021-09-01,2021-08-30,Wednesday,5,desktop,Справка и Образование,8
2021-09-01,2021-08-30,Wednesday,5,touch,Справка и Образование,21
2021-09-01,2021-08-30,Wednesday,5,touch,Чувствительные запросы,5
2021-09-01,2021-08-30,Wednesday,6,desktop,"Здоровье, питание и рецепты",4
2021-09-01,2021-08-30,Wednesday,6,touch,"Здоровье, питание и рецепты",8
2021-09-01,2021-08-30,Wednesday,6,desktop,Карты и навигация,1
2021-09-01,2021-08-30,Wednesday,6,touch,Карты и навигация,7
2021-09-01,2021-08-30,Wednesday,6,desktop,"Медиа, фото и развлечения",12
2021-09-01,2021-08-30,Wednesday,6,touch,"Медиа, фото и развлечения",41
2021-09-01,2021-08-30,Wednesday,6,touch,Новости,2
